                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1072,                0.74926,                 1.1736,                0.70253,                0.60241,                0.65098,                0.38841,                 1.1556,                0.76243,                 1.2605,              0.0082805,              0.0082805,              0.0082805
                     68,                 1.1105,                0.75381,                  1.179,                0.77528,                0.61086,                0.67627,                0.40282,                 1.1565,                0.75606,                 1.2615,              0.0082545,              0.0082545,              0.0082545
                     69,                 1.1007,                0.74891,                 1.1769,                0.59106,                0.64029,                0.65968,                 0.3982,                 1.1496,                0.75414,                 1.2589,              0.0082284,              0.0082284,              0.0082284
                     70,                 1.1075,                0.74718,                 1.1798,                0.73881,                0.61153,                0.68247,                0.41162,                 1.1563,                 0.7558,                 1.2606,              0.0082024,              0.0082024,              0.0082024
                     71,                  1.095,                0.73296,                 1.1689,                0.66934,                0.63324,                0.67235,                0.40998,                 1.1574,                0.74345,                 1.2535,              0.0081763,              0.0081763,              0.0081763
                     72,                 1.1004,                0.73841,                  1.172,                0.67135,                0.63299,                0.66745,                0.40131,                 1.1519,                0.73268,                  1.257,              0.0081503,              0.0081503,              0.0081503
                     73,                 1.0945,                 0.7437,                 1.1712,                 0.6913,                0.62579,                0.67705,                 0.4039,                 1.1458,                0.72995,                 1.2545,              0.0081242,              0.0081242,              0.0081242
                     74,                 1.0895,                0.72593,                 1.1656,                0.60907,                0.59784,                0.63957,                0.37623,                  1.151,                0.74833,                  1.253,              0.0080982,              0.0080982,              0.0080982
                     75,                  1.095,                0.74147,                 1.1701,                0.67681,                 0.6461,                0.69533,                0.41129,                 1.1466,                0.73156,                 1.2476,              0.0080721,              0.0080721,              0.0080721
                     76,                 1.0968,                0.73585,                 1.1669,                0.71427,                 0.6343,                0.68052,                0.40884,                 1.1464,                0.74198,                 1.2506,              0.0080461,              0.0080461,              0.0080461
                     77,                 1.0934,                0.72877,                 1.1644,                0.69389,                0.63121,                0.67614,                0.40057,                 1.1478,                0.73524,                 1.2547,                0.00802,                0.00802,                0.00802
                     78,                 1.0901,                0.73744,                 1.1652,                0.68564,                0.66389,                0.68266,                0.40783,                 1.1441,                0.72277,                 1.2545,              0.0079939,              0.0079939,              0.0079939
                     79,                 1.0857,                0.73053,                 1.1694,                0.69426,                0.64628,                0.68187,                0.40552,                 1.1556,                0.74709,                 1.2533,              0.0079679,              0.0079679,              0.0079679
                     80,                 1.0781,                0.72731,                  1.156,                0.72039,                0.60107,                0.67193,                0.40227,                 1.1461,                0.75083,                 1.2428,              0.0079418,              0.0079418,              0.0079418
                     81,                 1.0829,                0.72074,                 1.1583,                0.65726,                0.62367,                0.66646,                0.40006,                 1.1444,                0.74412,                 1.2502,              0.0079158,              0.0079158,              0.0079158
                     82,                 1.0785,                0.71536,                 1.1585,                0.72219,                 0.6285,                0.67944,                0.40588,                 1.1495,                0.73117,                 1.2556,              0.0078897,              0.0078897,              0.0078897
                     83,                  1.089,                  0.719,                 1.1651,                0.69618,                0.65321,                0.68492,                0.41082,                 1.1412,                0.72414,                 1.2458,              0.0078637,              0.0078637,              0.0078637
                     84,                 1.0817,                0.72084,                 1.1567,                0.72263,                0.62039,                0.67607,                0.39777,                  1.139,                 0.7409,                 1.2473,              0.0078376,              0.0078376,              0.0078376
                     85,                  1.079,                0.72007,                 1.1602,                0.73054,                0.60675,                0.67195,                0.40079,                 1.1555,                0.74115,                 1.2581,              0.0078116,              0.0078116,              0.0078116
                     86,                  1.085,                0.72773,                  1.159,                0.71122,                0.64256,                 0.6927,                0.41756,                 1.1414,                0.72107,                 1.2469,              0.0077855,              0.0077855,              0.0077855
                     87,                 1.0794,                0.72194,                 1.1623,                  0.774,                0.62771,                0.70083,                0.41616,                 1.1506,                 0.7329,                 1.2536,              0.0077595,              0.0077595,              0.0077595
